问题7,问题8,问题15,问题30,问题3
"['口味', '促销']","['原味', '五香', '水果']",5.0,,每月数次
"['推荐', '习惯']","['酸辣', '麻辣', '水果']",30.0,,每天
"['价格', '口味', '习惯']","['水果', '咸香', '烧烤']",30.0,,每天
['促销'],['水果'],,25.0,每天
"['品牌', '广告', '包装']",['麻辣'],,5.0,每天
"['广告', '包装']","['海鲜', '奶香']",35.0,,每周数次
['推荐'],"['酸辣', '五香']",45.0,,每周一次
"['推荐', '品牌']",['酸辣'],5.0,,每天
['价格'],"['海鲜', '原味']",,50.0,每周一次
"['推荐', '广告', '口味']","['酸辣', '奶香', '香辣']",50.0,,每天
['品牌'],['海鲜'],15.0,,每周一次
"['广告', '价格', '品牌']","['酸辣', '咸香', '五香']",,40.0,每月数次
['品牌'],"['奶香', '香辣']",20.0,,每月数次
['口味'],"['五香', '酸辣', '原味']",,30.0,每周一次
"['价格', '包装', '促销']","['奶香', '五香', '海鲜']",5.0,,每天
"['习惯', '包装']","['水果', '海鲜', '香辣']",,50.0,每周数次
"['口味', '习惯']","['海鲜', '烧烤', '麻辣']",50.0,,每周一次
"['口味', '价格', '促销']",['麻辣'],10.0,,偶尔
"['口味', '促销', '品牌']","['原味', '海鲜']",,20.0,每周数次
['推荐'],"['烧烤', '海鲜', '五香']",,25.0,偶尔
['包装'],"['香辣', '麻辣', '五香']",,45.0,每周一次
"['广告', '推荐', '促销']","['五香', '烧烤', '水果', '麻辣']",,30.0,每天
['推荐'],"['香辣', '海鲜', '烧烤']",,50.0,偶尔
"['习惯', '推荐']","['五香', '烧烤', '香辣']",50.0,,每周一次
"['包装', '口味']","['香辣', '五香', '海鲜']",,40.0,每周数次
['价格'],"['酸辣', '烧烤', '麻辣', '咸香']",,45.0,每天
"['促销', '口味']","['酸辣', '奶香', '香辣', '水果']",,50.0,偶尔
['促销'],"['酸辣', '麻辣', '香辣', '海鲜']",,25.0,每周一次
"['促销', '价格']","['酸辣', '奶香', '咸香', '海鲜']",30.0,,每天
"['包装', '价格', '习惯']","['原味', '香辣']",40.0,,每天
"['习惯', '推荐']","['水果', '奶香', '海鲜', '烧烤']",5.0,,每月数次
"['包装', '促销', '口味']","['烧烤', '水果', '原味', '海鲜']",35.0,,每天
['价格'],"['水果', '麻辣', '烧烤', '海鲜']",40.0,,每周一次
['包装'],"['奶香', '五香']",,40.0,每周数次
"['品牌', '口味', '包装']","['麻辣', '酸辣', '原味', '香辣']",40.0,,每月数次
"['价格', '口味']","['奶香', '香辣']",35.0,,每周一次
"['推荐', '品牌', '广告']","['烧烤', '香辣', '海鲜', '水果']",,40.0,每周一次
"['价格', '推荐', '品牌']","['水果', '原味', '酸辣', '奶香']",,50.0,每周一次
['价格'],"['原味', '咸香']",15.0,,偶尔
"['促销', '品牌']","['麻辣', '水果', '烧烤', '咸香']",20.0,,偶尔
"['推荐', '习惯', '品牌']","['麻辣', '奶香', '酸辣', '原味']",,10.0,每周数次
"['价格', '习惯', '广告']","['奶香', '海鲜', '原味', '烧烤']",30.0,,每周一次
"['习惯', '广告']","['原味', '五香', '烧烤']",,50.0,偶尔
"['广告', '口味', '习惯']","['海鲜', '烧烤', '香辣']",,15.0,偶尔
"['包装', '习惯', '口味']",['五香'],50.0,,偶尔
"['促销', '品牌']","['香辣', '酸辣', '咸香', '五香']",30.0,,每周数次
"['广告', '习惯', '口味']","['海鲜', '五香']",45.0,,每周数次
['促销'],"['咸香', '奶香', '麻辣', '水果']",,50.0,每周一次
"['促销', '推荐', '价格']","['水果', '海鲜', '酸辣']",,15.0,每月数次
"['习惯', '包装']","['原味', '麻辣', '海鲜', '酸辣']",5.0,,每周一次
['口味'],['奶香'],50.0,,偶尔
"['习惯', '广告']","['五香', '奶香', '酸辣', '麻辣']",50.0,,偶尔
"['广告', '包装']",['烧烤'],,30.0,每天
"['推荐', '价格', '口味']","['咸香', '香辣', '原味', '水果']",,30.0,每周一次
"['广告', '促销']","['奶香', '酸辣']",,5.0,偶尔
"['品牌', '价格', '习惯']","['水果', '麻辣']",15.0,,偶尔
"['推荐', '促销', '价格']","['水果', '咸香', '香辣']",,20.0,每月数次
"['推荐', '包装', '品牌']","['原味', '海鲜']",,15.0,每天
"['推荐', '包装', '价格']","['香辣', '水果', '酸辣']",5.0,,每周一次
['口味'],['烧烤'],,10.0,每周数次
"['口味', '广告']",['水果'],15.0,,每周一次
"['推荐', '广告', '口味']","['奶香', '烧烤']",,40.0,每周一次
"['广告', '口味', '品牌']",['原味'],40.0,,每月数次
['推荐'],"['烧烤', '水果']",25.0,,每周一次
"['促销', '口味', '品牌']","['酸辣', '麻辣', '烧烤', '水果']",,20.0,每月数次
"['口味', '包装']",['烧烤'],30.0,,每月数次
"['价格', '广告', '包装']","['香辣', '五香', '咸香']",,10.0,偶尔
"['包装', '广告', '推荐']","['五香', '麻辣', '酸辣']",20.0,,每周数次
"['推荐', '习惯']","['水果', '奶香', '麻辣']",45.0,,每月数次
"['包装', '价格']","['酸辣', '海鲜', '咸香']",20.0,,每天
"['推荐', '习惯']","['原味', '酸辣', '麻辣', '海鲜']",,5.0,每天
"['推荐', '促销']","['水果', '海鲜', '原味', '酸辣']",25.0,,每周数次
"['促销', '推荐', '价格']",['原味'],50.0,,每月数次
['品牌'],"['烧烤', '咸香']",,30.0,每周数次
['口味'],['海鲜'],30.0,,偶尔
['广告'],"['奶香', '咸香']",50.0,,每天
"['口味', '品牌', '包装']","['海鲜', '香辣']",35.0,,每周一次
"['习惯', '品牌']",['水果'],30.0,,每天
"['习惯', '价格', '广告']","['烧烤', '奶香', '酸辣']",,5.0,每月数次
['品牌'],"['咸香', '海鲜', '酸辣']",25.0,,每周数次
"['包装', '习惯']",['麻辣'],15.0,,每天
['价格'],"['奶香', '水果']",,40.0,每周一次
['品牌'],['麻辣'],50.0,,每周一次
"['习惯', '品牌', '口味']","['海鲜', '五香']",25.0,,每周数次
['品牌'],"['香辣', '咸香']",,20.0,每周数次
"['推荐', '品牌', '包装']",['水果'],,45.0,每天
"['价格', '推荐']","['奶香', '麻辣']",,20.0,每月数次
"['推荐', '包装']",['海鲜'],,50.0,偶尔
['习惯'],"['香辣', '咸香', '水果', '奶香']",25.0,,每周一次
['包装'],"['水果', '麻辣']",,35.0,每周数次
['促销'],"['五香', '香辣', '酸辣']",30.0,,偶尔
"['价格', '品牌']","['咸香', '原味']",,35.0,偶尔
"['品牌', '包装']","['烧烤', '麻辣', '原味']",35.0,,偶尔
"['习惯', '价格', '品牌']",['香辣'],,50.0,每月数次
['推荐'],['咸香'],,15.0,每周数次
"['广告', '口味']","['麻辣', '奶香']",15.0,,每周一次
"['广告', '促销', '包装']",['酸辣'],,45.0,每周数次
"['广告', '推荐']","['麻辣', '烧烤']",,5.0,每天
"['口味', '推荐']","['香辣', '烧烤', '原味', '奶香']",,35.0,每周一次
['推荐'],['咸香'],35.0,,每周数次
"['推荐', '价格']","['麻辣', '五香', '原味', '烧烤']",,10.0,每周一次
['习惯'],"['香辣', '咸香']",,10.0,每天
"['习惯', '促销']",['麻辣'],10.0,,每周一次
['促销'],"['奶香', '水果']",30.0,,偶尔
['口味'],['五香'],,35.0,每月数次
"['包装', '促销', '习惯']",['原味'],35.0,,每天
"['包装', '习惯']",['烧烤'],15.0,,每周一次
"['广告', '推荐']","['香辣', '酸辣']",5.0,,每天
"['包装', '价格']","['酸辣', '海鲜', '五香']",,10.0,偶尔
['广告'],"['水果', '麻辣', '原味', '咸香']",,10.0,每月数次
"['口味', '推荐', '广告']",['五香'],10.0,,每天
"['包装', '推荐', '促销']","['五香', '原味', '麻辣', '水果']",,5.0,偶尔
"['推荐', '习惯', '品牌']",['水果'],15.0,,偶尔
['价格'],['原味'],,20.0,偶尔
"['习惯', '价格']",['原味'],40.0,,每周一次
['口味'],"['香辣', '酸辣', '原味', '奶香']",,35.0,每周数次
['口味'],"['奶香', '五香', '原味', '水果']",35.0,,每天
"['促销', '价格', '包装']","['咸香', '麻辣', '水果', '酸辣']",,40.0,每周数次
['促销'],['酸辣'],,35.0,偶尔
"['习惯', '品牌']",['麻辣'],5.0,,每周数次
['包装'],"['五香', '烧烤']",,30.0,偶尔
"['品牌', '口味']",['五香'],,35.0,偶尔
"['推荐', '广告', '价格']","['水果', '麻辣', '咸香']",,20.0,每月数次
"['品牌', '推荐']","['水果', '五香', '麻辣', '原味']",,10.0,每月数次
"['口味', '促销']",['原味'],,50.0,每周数次
['价格'],"['咸香', '海鲜', '水果', '麻辣']",,45.0,每天
"['价格', '推荐', '促销']","['五香', '水果', '奶香', '香辣']",,35.0,每周数次
"['广告', '包装', '推荐']","['海鲜', '水果']",,5.0,每天
"['促销', '推荐', '习惯']",['海鲜'],5.0,,每周数次
"['口味', '价格']","['原味', '酸辣', '奶香', '五香']",,15.0,每周一次
"['包装', '推荐']","['奶香', '香辣', '酸辣', '原味']",30.0,,每周一次
"['品牌', '价格', '促销']",['海鲜'],,25.0,每天
"['推荐', '促销', '广告']","['五香', '麻辣']",50.0,,每月数次
"['品牌', '包装', '口味']","['烧烤', '原味', '海鲜']",,30.0,每天
['习惯'],"['酸辣', '奶香']",35.0,,每周数次
['品牌'],"['咸香', '麻辣']",20.0,,偶尔
"['促销', '包装']",['原味'],,10.0,每周一次
"['习惯', '口味']","['五香', '原味', '香辣']",15.0,,偶尔
['价格'],"['咸香', '五香', '水果']",,30.0,每周一次
"['促销', '广告']","['酸辣', '烧烤', '咸香', '五香']",,40.0,每周数次
"['品牌', '广告', '口味']","['烧烤', '麻辣', '奶香']",45.0,,每周一次
"['习惯', '品牌', '促销']","['香辣', '海鲜']",,20.0,每天
"['口味', '习惯', '品牌']","['五香', '奶香']",50.0,,偶尔
['推荐'],"['麻辣', '咸香', '酸辣', '奶香']",45.0,,偶尔
['包装'],"['咸香', '奶香', '原味']",,30.0,每周数次
"['促销', '习惯']","['水果', '烧烤', '咸香']",,40.0,偶尔
['包装'],"['水果', '烧烤', '香辣', '海鲜']",,40.0,每周数次
"['品牌', '促销']",['咸香'],,35.0,每月数次
['广告'],"['香辣', '原味', '海鲜']",,15.0,每天
"['促销', '广告', '包装']","['原味', '奶香', '麻辣', '酸辣']",40.0,,每周一次
"['口味', '习惯']",['咸香'],5.0,,每周一次
"['包装', '价格', '口味']",['水果'],,25.0,每周一次
"['包装', '价格', '推荐']","['五香', '麻辣']",,50.0,每月数次
['推荐'],"['五香', '原味', '酸辣']",,50.0,每天
"['广告', '包装', '口味']",['五香'],25.0,,偶尔
['促销'],['五香'],25.0,,偶尔
['推荐'],"['香辣', '五香', '麻辣', '酸辣']",15.0,,每天
"['习惯', '包装', '促销']","['咸香', '海鲜', '烧烤']",,35.0,每天
"['口味', '品牌']","['五香', '原味', '烧烤']",,15.0,每周一次
['价格'],"['水果', '奶香', '咸香', '五香']",5.0,,偶尔
"['价格', '口味', '促销']","['海鲜', '奶香']",,45.0,每天
['广告'],"['酸辣', '香辣', '原味', '五香']",,40.0,偶尔
"['包装', '习惯', '广告']","['水果', '麻辣', '酸辣', '原味']",20.0,,每天
"['促销', '习惯']","['烧烤', '五香', '奶香', '海鲜']",15.0,,每周数次
"['品牌', '价格', '习惯']","['麻辣', '酸辣', '香辣']",,15.0,每周一次
"['习惯', '广告']","['烧烤', '原味', '香辣']",5.0,,每天
"['价格', '习惯']","['酸辣', '五香', '水果']",,35.0,每月数次
"['推荐', '促销', '口味']","['咸香', '香辣']",35.0,,每天
"['广告', '推荐', '包装']","['五香', '奶香', '麻辣']",10.0,,每周数次
"['口味', '推荐']","['香辣', '麻辣']",,30.0,每月数次
"['口味', '价格']",['奶香'],,45.0,每月数次
"['促销', '包装', '广告']","['咸香', '麻辣', '烧烤', '香辣']",30.0,,每天
"['包装', '价格']","['原味', '海鲜', '水果']",,40.0,每周数次
"['包装', '推荐']","['酸辣', '水果', '原味']",40.0,,每月数次
['包装'],"['海鲜', '水果', '烧烤']",,25.0,每周一次
"['包装', '品牌', '促销']","['酸辣', '咸香', '香辣']",5.0,,每周一次
"['推荐', '促销']",['水果'],5.0,,偶尔
"['广告', '习惯']","['奶香', '海鲜', '香辣']",5.0,,偶尔
"['品牌', '促销']",['麻辣'],,15.0,每周数次
['口味'],['水果'],20.0,,每月数次
['口味'],['酸辣'],40.0,,每周一次
"['包装', '价格']","['香辣', '水果', '五香']",5.0,,每周一次
['推荐'],"['香辣', '奶香', '五香', '海鲜']",50.0,,每周数次
['推荐'],['咸香'],,5.0,每月数次
"['价格', '包装', '口味']","['海鲜', '烧烤', '酸辣', '奶香']",,45.0,每周数次
"['包装', '价格', '广告']",['酸辣'],45.0,,每天
"['口味', '广告', '习惯']","['水果', '香辣', '五香']",50.0,,每周一次
"['价格', '品牌', '习惯']","['奶香', '烧烤']",,5.0,每周数次
['价格'],"['奶香', '咸香', '五香']",35.0,,每周数次
['包装'],"['咸香', '奶香']",,15.0,每天
"['推荐', '价格', '包装']","['咸香', '酸辣']",5.0,,偶尔
"['品牌', '促销', '价格']","['五香', '酸辣', '海鲜', '水果']",,5.0,每周一次
"['习惯', '促销', '价格']","['麻辣', '酸辣', '烧烤', '海鲜']",10.0,,每周数次
"['广告', '包装', '推荐']","['麻辣', '五香', '水果']",,5.0,每周一次
['价格'],"['酸辣', '烧烤']",,20.0,偶尔
"['价格', '包装', '口味']","['五香', '奶香', '酸辣', '麻辣']",,30.0,每周数次
"['价格', '品牌', '促销']","['海鲜', '原味', '水果']",5.0,,每天
['价格'],"['麻辣', '香辣', '烧烤', '五香']",,35.0,每周一次
['口味'],['酸辣'],,50.0,每天
"['推荐', '习惯', '口味']","['香辣', '烧烤', '奶香']",20.0,,偶尔
"['价格', '口味', '促销']","['原味', '五香']",15.0,,偶尔
"['口味', '品牌']","['水果', '香辣']",15.0,,每周一次
"['习惯', '促销', '口味']","['咸香', '酸辣', '原味', '烧烤']",50.0,,偶尔
['推荐'],"['香辣', '五香', '酸辣']",,35.0,每月数次
['广告'],['烧烤'],15.0,,每周一次
['包装'],"['酸辣', '香辣', '原味']",35.0,,每月数次
"['价格', '促销']","['烧烤', '麻辣', '香辣', '五香']",25.0,,偶尔
"['习惯', '推荐']","['香辣', '烧烤', '酸辣', '咸香']",20.0,,每周一次
"['广告', '习惯']","['烧烤', '水果', '原味']",15.0,,每月数次
"['广告', '促销', '习惯']","['烧烤', '麻辣', '五香']",20.0,,偶尔
"['口味', '广告']","['海鲜', '麻辣', '咸香', '五香']",10.0,,每周数次
['品牌'],"['海鲜', '烧烤', '五香', '麻辣']",,10.0,每周数次
"['促销', '习惯']","['咸香', '酸辣']",,10.0,每天
['品牌'],['烧烤'],,20.0,每周数次
['广告'],['咸香'],,45.0,每月数次
['促销'],"['香辣', '五香']",,15.0,每周数次
"['促销', '包装']",['咸香'],10.0,,每周一次
['促销'],"['麻辣', '酸辣', '海鲜', '原味']",45.0,,每周一次
"['包装', '促销', '广告']","['奶香', '烧烤', '香辣']",25.0,,每周一次
"['价格', '推荐', '促销']","['五香', '香辣']",45.0,,每周数次
"['推荐', '包装']",['酸辣'],,40.0,每周数次
"['包装', '口味', '促销']",['奶香'],,50.0,每天
"['推荐', '品牌', '包装']",['奶香'],5.0,,偶尔
['促销'],"['麻辣', '奶香', '烧烤', '海鲜']",50.0,,每天
"['包装', '品牌']","['酸辣', '海鲜', '麻辣', '烧烤']",,50.0,每月数次
"['价格', '习惯']","['咸香', '原味']",,45.0,每周一次
['广告'],"['五香', '原味']",,40.0,每周数次
"['推荐', '口味']",['烧烤'],50.0,,偶尔
"['习惯', '促销']","['烧烤', '五香', '原味']",40.0,,偶尔
['口味'],"['奶香', '原味']",,20.0,每周数次
"['推荐', '价格']",['海鲜'],,40.0,每天
"['价格', '口味', '促销']","['五香', '香辣']",10.0,,偶尔
['品牌'],['原味'],25.0,,每天
['品牌'],"['烧烤', '奶香', '麻辣']",20.0,,每周数次
"['品牌', '习惯', '口味']","['酸辣', '水果']",25.0,,每天
"['价格', '广告', '包装']","['咸香', '原味']",,20.0,每周一次
"['习惯', '推荐', '促销']","['咸香', '香辣']",,30.0,每周数次
"['推荐', '广告', '价格']","['五香', '原味', '海鲜', '奶香']",,25.0,每周数次
['品牌'],"['五香', '酸辣']",40.0,,偶尔
['推荐'],"['咸香', '酸辣']",40.0,,偶尔
['推荐'],"['烧烤', '五香']",10.0,,偶尔
"['广告', '推荐']",['五香'],,45.0,每周一次
"['习惯', '品牌', '广告']","['原味', '咸香', '水果']",,50.0,每周一次
"['推荐', '价格']","['酸辣', '麻辣', '水果', '海鲜']",,10.0,每月数次
"['包装', '促销', '价格']",['咸香'],50.0,,每周数次
"['推荐', '广告']","['海鲜', '香辣', '水果', '原味']",20.0,,偶尔
"['品牌', '口味']","['香辣', '水果', '酸辣']",,5.0,每周数次
"['推荐', '口味']","['咸香', '酸辣', '海鲜']",5.0,,每天
"['口味', '推荐', '品牌']","['麻辣', '水果']",,20.0,每周一次
"['价格', '习惯']","['酸辣', '奶香', '麻辣']",,10.0,每月数次
"['口味', '促销']","['原味', '奶香']",,5.0,每天
"['促销', '价格', '习惯']","['五香', '原味']",,45.0,每周数次
['口味'],['香辣'],35.0,,每周一次
"['口味', '价格']","['奶香', '原味', '酸辣', '海鲜']",40.0,,偶尔
['广告'],"['酸辣', '香辣']",10.0,,每天
['习惯'],"['水果', '奶香', '原味', '咸香']",20.0,,每周一次
"['推荐', '广告']","['烧烤', '海鲜', '香辣']",10.0,,每周数次
"['广告', '口味', '习惯']","['香辣', '五香', '麻辣', '奶香']",20.0,,每周数次
"['促销', '口味', '推荐']",['酸辣'],,30.0,每天
['品牌'],"['香辣', '酸辣', '咸香']",30.0,,每天
['包装'],"['原味', '咸香', '酸辣']",10.0,,每天
['包装'],['烧烤'],20.0,,每月数次
['口味'],"['奶香', '海鲜', '水果']",,20.0,偶尔
"['习惯', '价格', '推荐']","['烧烤', '海鲜']",5.0,,每周一次
['推荐'],['咸香'],,40.0,每周数次
['习惯'],"['烧烤', '咸香']",15.0,,每周数次
"['推荐', '习惯']","['五香', '麻辣', '烧烤']",25.0,,偶尔
['促销'],"['水果', '原味']",40.0,,每天
"['习惯', '包装']","['麻辣', '奶香']",,30.0,每天
['广告'],"['水果', '烧烤']",,35.0,每周数次
"['推荐', '价格']",['香辣'],30.0,,偶尔
"['包装', '品牌', '推荐']",['麻辣'],35.0,,每周数次
"['推荐', '价格', '广告']",['香辣'],30.0,,每天
"['包装', '品牌', '推荐']","['酸辣', '咸香']",,20.0,每周一次
"['推荐', '价格']","['咸香', '原味', '香辣']",,45.0,每天
['广告'],"['水果', '烧烤', '五香', '奶香']",5.0,,每周一次
['包装'],"['麻辣', '烧烤', '咸香', '原味']",,15.0,每月数次
"['广告', '习惯', '口味']","['原味', '烧烤', '酸辣']",,15.0,偶尔
"['广告', '推荐']",['海鲜'],,40.0,每月数次
['品牌'],"['水果', '香辣', '麻辣', '五香']",,10.0,每天
"['口味', '品牌']",['奶香'],35.0,,偶尔
['促销'],"['五香', '咸香']",45.0,,每天
"['价格', '促销']","['香辣', '海鲜', '奶香', '酸辣']",,30.0,偶尔
"['促销', '广告', '价格']",['奶香'],,15.0,偶尔
['习惯'],"['酸辣', '海鲜', '麻辣']",,15.0,每天
"['广告', '习惯', '品牌']",['咸香'],30.0,,每天
"['习惯', '广告']","['咸香', '海鲜', '原味']",20.0,,偶尔
"['品牌', '推荐']","['奶香', '酸辣', '麻辣', '原味']",,10.0,偶尔
"['促销', '广告']","['奶香', '五香', '咸香']",,40.0,每天
"['口味', '习惯', '广告']","['香辣', '五香', '海鲜']",,45.0,每天
"['价格', '习惯']",['烧烤'],,40.0,每周数次
"['促销', '习惯']","['海鲜', '麻辣']",10.0,,每周数次
"['价格', '促销', '广告']","['奶香', '海鲜']",35.0,,每周数次
"['广告', '品牌', '推荐']","['酸辣', '香辣', '海鲜', '奶香']",30.0,,每月数次
"['习惯', '价格', '推荐']","['五香', '原味']",10.0,,偶尔
"['价格', '习惯', '广告']","['原味', '香辣']",10.0,,每周一次
['口味'],"['咸香', '香辣', '麻辣', '奶香']",20.0,,每月数次
"['口味', '促销', '习惯']",['五香'],,30.0,偶尔
"['习惯', '品牌', '广告']","['原味', '海鲜']",,25.0,每周一次
"['包装', '推荐']",['酸辣'],40.0,,每周数次
"['品牌', '习惯']","['奶香', '五香', '酸辣']",35.0,,每周一次
"['习惯', '推荐', '品牌']",['奶香'],10.0,,每天
['价格'],"['烧烤', '水果', '原味', '奶香']",,25.0,每天
['品牌'],"['烧烤', '麻辣', '五香', '香辣']",,20.0,偶尔
['促销'],"['酸辣', '水果', '五香', '原味']",,40.0,每月数次
"['价格', '品牌']","['咸香', '酸辣', '水果']",,40.0,每周数次
['包装'],"['原味', '酸辣', '烧烤']",10.0,,偶尔
"['习惯', '促销', '口味']","['咸香', '酸辣', '水果']",,5.0,每周数次
"['习惯', '品牌', '促销']",['奶香'],40.0,,每天
['促销'],"['海鲜', '五香']",,10.0,每月数次
"['习惯', '包装']","['海鲜', '香辣', '水果']",,10.0,每月数次
"['品牌', '包装']","['水果', '酸辣', '香辣']",,15.0,每天
['品牌'],"['海鲜', '麻辣', '奶香']",,40.0,每周一次
"['口味', '习惯']","['香辣', '水果', '奶香', '五香']",40.0,,每月数次
"['包装', '品牌', '促销']","['原味', '五香', '海鲜']",35.0,,每周一次
"['品牌', '习惯']","['香辣', '酸辣', '海鲜', '水果']",20.0,,每周数次
"['口味', '习惯', '促销']","['原味', '烧烤', '麻辣', '香辣']",10.0,,每月数次
['品牌'],['烧烤'],45.0,,每天
"['口味', '习惯', '广告']","['酸辣', '麻辣']",20.0,,每周一次
"['品牌', '广告']","['烧烤', '香辣']",45.0,,每周数次
"['包装', '促销']",['奶香'],,35.0,每周数次
['价格'],"['咸香', '水果', '麻辣']",35.0,,每月数次
['推荐'],['奶香'],,40.0,每月数次
['价格'],"['水果', '烧烤']",10.0,,偶尔
['口味'],"['奶香', '香辣', '原味', '麻辣']",,25.0,偶尔
['广告'],"['烧烤', '麻辣', '酸辣']",35.0,,每月数次
"['包装', '推荐', '口味']","['烧烤', '咸香', '酸辣', '五香']",,45.0,偶尔
"['习惯', '口味']","['香辣', '水果', '酸辣', '奶香']",15.0,,每天
['包装'],"['酸辣', '海鲜']",50.0,,每天
"['习惯', '口味', '品牌']","['烧烤', '海鲜']",40.0,,偶尔
['口味'],"['烧烤', '水果', '麻辣', '酸辣']",15.0,,每月数次
"['习惯', '广告', '推荐']","['咸香', '海鲜', '奶香', '水果']",,5.0,每天
['习惯'],"['烧烤', '五香']",45.0,,每周数次
"['广告', '口味', '品牌']",['香辣'],25.0,,每月数次
